Species;Native;Family;Total length (mm);Ucrit (cm/s);Temperature (oC);Body shape;Form factor;Life stage;Time step (min);Wild status
Abramis brama;introduced;Leuciscidae;79;55.9;12.3;Fusiform;0.005622095;Adult;0.33;Natural
Abramis brama;introduced;Leuciscidae;120;87;18;Fusiform;0.005622095;Adult;30;Natural
Abramis brama;introduced;Leuciscidae;280;96;18;Fusiform;0.005622095;Adult;30;Natural
Alburnus alburnus;introduced;Leuciscidae;103;68.04;20;Fusiform;0.00724;Adult;20;Natural
Alosa fallax;native;Clupeidae;336;139.8;18.7;Fusiform;0.00384902;Adult;0.33;Natural
Anguilla anguilla;native;Anguillidae;72;54;12;eel-like;0.000480285;Juvenile;0.167;Natural
Anguilla anguilla;native;Anguillidae;444;43;17.5;eel-like;0.000480285;Adult;20;Natural
Anguilla anguilla;native;Anguillidae;377;65;17.5;eel-like;0.000480285;Adult;20;Natural
Anguilla anguilla;native;Anguillidae;621;72;17.5;eel-like;0.000480285;Adult;20;Natural
Anguilla anguilla;native;Anguillidae;785.37;94;18;eel-like;0.000480285;Adult;20;Natural
Anguilla anguilla;native;Anguillidae;314.96;44;23;eel-like;0.000480285;Adult;40;Farmed
Aphanius iberus;native;Aphaniidae;29.65;10.75;25;Fusiform;0.008003758;Adult;20;Natural
Barbatula barbatula;native;Balitoridae;82.58;28.25;15;Elongated;0.008552636;Adult;20;Natural
Barbus meridionalis;native;Cyprinidae;120.94;58.72;20;Fusiform;0.015059684;Adult;20;Natural
Barbus meridionalis;native;Cyprinidae;110;57.66;21;Fusiform;0.015059684;Adult;20;Natural
Carassius auratus;introduced;Cyprinidae;65.3;45.4;25;Fusiform;0.013273399;Juvenile;20;Farmed
Carassius auratus;introduced;Cyprinidae;97;45;16;Fusiform;0.013273399;Adult;15;Natural
Carassius auratus;introduced;Cyprinidae;83.57;34.25;20;Fusiform;0.013273399;Juvenile;20;Farmed
Carassius auratus;introduced;Cyprinidae;78.81;31.65;15;Fusiform;0.013273399;Juvenile;20;Farmed
Carassius auratus;introduced;Cyprinidae;77.23;44.31;25;Fusiform;0.013273399;Juvenile;20;Farmed
Carassius auratus;introduced;Cyprinidae;83.57;27.4;10;Fusiform;0.013273399;Juvenile;20;Farmed
Carassius auratus;introduced;Cyprinidae;67.3;46.91;20;Fusiform;0.013273399;Juvenile;20;Farmed
